mins,area,time,Arc_lenght,hullArea,radius,roundness,roundness2,compact,eccentricity,leaf
13760,10.302445954945718,2017-11-10 13:20:00,92.08326029777528,301.5,15.0,0.3082562025375505,0.4468232935820744,0.6898839137645107,0.985557736095298,2
13775,10.634782921234287,2017-11-10 13:35:00,93.49747383594513,307.0,15.0,0.3097828596267848,0.4413147930646076,0.7019543973941368,0.9858692320576198,2
13790,10.759409283592504,2017-11-10 13:50:00,95.9827550649643,314.5,15.0,0.2980402246084794,0.4289869594479029,0.6947535771065183,0.987686676702355,2
13805,10.967119887522859,2017-11-10 14:05:00,95.15432798862456,311.5,16.0,0.31019178971553546,0.4323254697825025,0.7174959871589085,0.9869049985962272,2
13820,10.634782921234287,2017-11-10 14:20:00,94.08326029777528,301.5,15.0,0.3052274626791148,0.4280282790593167,0.7131011608623549,0.9894878305722172,2
13835,10.759409283592504,2017-11-10 14:35:00,94.66904675960541,307.0,15.0,0.30496718921379234,0.4304594348902724,0.7084690553745928,0.987831060662639,2
13850,10.551698679662143,2017-11-10 14:50:00,94.32590091228485,297.0,15.0,0.3015406173611185,0.4194733646662866,0.7188552188552189,0.9909069567986548,2
13865,10.302445954945718,2017-11-10 15:05:00,93.84061968326569,291.5,15.0,0.29467832052337595,0.4159744815136275,0.7084048027444254,0.9902026596370598,2
13880,10.634782921234287,2017-11-10 15:20:00,92.32590091228485,305.0,15.0,0.31916896579788584,0.4496375730639962,0.7098360655737705,0.9885659079406935,2
13895,10.676325042020359,2017-11-10 15:35:00,93.9827550649643,310.5,15.0,0.3094373842674301,0.4417485416783313,0.7004830917874396,0.9864700438924906,2
13910,10.925577766736787,2017-11-10 15:50:00,90.42640614509584,305.0,15.0,0.34270795494499434,0.46872612671848995,0.7311475409836066,0.9871395096092568,2
13925,10.676325042020359,2017-11-10 16:05:00,93.49747383594513,305.5,15.0,0.3112203670960506,0.4391585318607089,0.7086743044189853,0.9879923312870748,2
13940,10.967119887522859,2017-11-10 16:20:00,92.66904675960541,307.5,15.0,0.3270528967928291,0.4499721063257045,0.7268292682926829,0.9863933256044772,2
13955,10.842493525164645,2017-11-10 16:35:00,93.49747383594513,311.0,15.0,0.3169703969731139,0.4470648229416709,0.7090032154340836,0.9849562498075528,2
13970,10.925577766736787,2017-11-10 16:50:00,90.08326029777528,312.5,15.0,0.3468723565155928,0.4839179080853694,0.7168,0.9871132281315216,2
13985,10.676325042020359,2017-11-10 17:05:00,94.32590091228485,304.0,15.0,0.3057777220547173,0.4293599422846839,0.7121710526315791,0.9859063532256159,2
