mins,area,time,Arc_lenght,hullArea,radius,roundness,roundness2,compact,eccentricity,leaf
31265,172.09151225412919,2017-11-22 17:05:00,525.7716399431229,5058.0,46.0,0.14544462133518904,0.2299293310559107,0.6325622775800712,0.9973930416011988,5
31280,174.36718608646407,2017-11-22 17:20:00,531.4284940958023,5088.0,46.0,0.14423352467589767,0.2263952409535608,0.6370872641509434,0.9973183347194337,6
31295,173.86148079038966,2017-11-22 17:35:00,538.256921172142,5067.0,46.0,0.13998995346003076,0.21977663646226986,0.6369646733767516,0.999998123858171,6
31310,170.3721142474761,2017-11-22 17:50:00,521.2863587141037,5022.5,46.0,0.1465247047720944,0.2322614264534777,0.63086112493778,0.994865826394818,5
32045,192.52200621553607,2017-11-23 06:05:00,575.5706294775008,5710.0,49.0,0.13555214727734466,0.2165951478812476,0.6258318739054289,0.9998016309114404,6
32060,191.40945456417248,2017-11-23 06:20:00,614.4406867027283,5754.5,49.0,0.11729671029402608,0.19153913716996965,0.6123903032409419,0.9815639907771077,7
32075,188.52693437654816,2017-11-23 06:35:00,606.1980460882188,5718.5,49.0,0.11871291499171235,0.19555229853956704,0.6070647897175833,0.9798488058042216,7
32090,192.724288333966,2017-11-23 06:50:00,579.5706294775008,5753.5,49.0,0.13447316112740382,0.21524310266977825,0.6247501520813418,0.9808212059151236,6
32105,187.8695174916514,2017-11-23 07:05:00,578.4995617866516,5721.5,49.0,0.13018400768213995,0.2148392846707136,0.6059599755308922,0.9824426182351714,6
32120,189.5889154983045,2017-11-23 07:20:00,588.9848430156708,5740.0,49.0,0.1266768509698377,0.2079282598132309,0.6092334494773519,0.9824124248663672,6
32135,191.4600250937799,2017-11-23 07:35:00,572.0142805576322,5746.0,49.0,0.13691645805984715,0.22067937391637635,0.6204316045945005,0.9826661982587244,5
32150,194.39311581101163,2017-11-23 07:50:00,595.4701242446897,5843.5,49.0,0.12722848579317825,0.2070918263878655,0.6143578334902028,0.9820210364699996,6
32165,192.2185830378916,2017-11-23 08:05:00,569.4284940958022,5829.0,49.0,0.13841467194484608,0.2259048362778966,0.6127123005661348,0.979021087523308,5
32180,192.8759999227883,2017-11-23 08:20:00,573.4284940958022,5867.5,50.0,0.1366814427157939,0.2242355277883184,0.6095440988495953,0.9822819884900738,6
32195,194.9999621663009,2017-11-23 08:35:00,581.9137753248215,5889.0,50.0,0.1341345994893633,0.2185416119498853,0.6137714382747496,0.9822650353008142,5
32210,195.85966116962743,2017-11-23 08:50:00,582.4995617866516,5891.0,50.0,0.13429086085392253,0.21817635446510136,0.6155151926667798,0.9810870586313578,5
32225,195.35395587355305,2017-11-23 09:05:00,584.8427076339723,5907.5,50.0,0.13273934412046862,0.21703782878263725,0.6115954295387219,0.9807036369067438,5
32240,193.5839873372925,2017-11-23 09:20:00,570.256921172142,5921.5,50.0,0.1387083774968573,0.2288234175644631,0.6061808663345436,0.979254664200184,5
32255,194.39311581101163,2017-11-23 09:35:00,576.6000670194627,5957.5,51.0,0.13631587119435726,0.2251772640067609,0.6053713806126731,0.980850410926103,5
32270,194.0896926333669,2017-11-23 09:50:00,597.3279888629912,6046.5,51.0,0.12612130485076145,0.2129551716783382,0.5922434466220128,0.9854870895191896,6
32285,200.05701512704525,2017-11-23 10:05:00,595.6711347103119,6131.0,52.0,0.13195917868363125,0.21713411822580336,0.6077312020877508,0.9840725473606876,6
32300,198.3881876499996,2017-11-23 10:20:00,609.4701242446897,6131.0,52.0,0.12388632228948128,0.2074131736637929,0.5972924482139944,0.9845013898163716,6
32315,201.01785518958667,2017-11-23 10:35:00,634.7838325500487,6150.0,52.0,0.1154813525743338,0.1917932266627472,0.6021138211382114,0.9818482325738016,7
32330,199.9053035382229,2017-11-23 10:50:00,608.1564159393309,6181.5,52.0,0.1254074460851963,0.21002604388394505,0.5971042627194046,0.9829280613641644,6
32345,198.59046976842941,2017-11-23 11:05:00,616.1564159393309,6162.0,52.0,0.121179077701848,0.20396216246893945,0.5941252839987017,0.9808554948918344,7
32360,202.5855416074174,2017-11-23 11:20:00,640.0975408554077,6179.0,52.0,0.11455344456616146,0.18951157536126145,0.6044667421912929,0.9817354188895712,7
32375,197.88248235392518,2017-11-23 11:35:00,623.5706294775008,6148.5,52.0,0.11774902911861602,0.19870451640889544,0.5925835569651134,0.9828264808107262,7
32390,198.8433224164666,2017-11-23 11:50:00,624.9848430156708,6171.5,52.0,0.11784409148066476,0.19854622183262968,0.59353479705096,0.9850236199214292,7
32405,199.55130983097084,2017-11-23 12:05:00,642.6416971683502,6188.0,52.0,0.11160955825659843,0.1882878807229638,0.5927601809954751,0.9789896727768266,7
32420,200.05701512704525,2017-11-23 12:20:00,615.5706294775008,6176.0,52.0,0.12238812829364334,0.20481481651308533,0.5975550518134715,0.9857465402313844,7
32435,201.22013730801646,2017-11-23 12:35:00,638.2985513210298,6181.0,52.0,0.11424392738581712,0.19064301165543607,0.5992557838537453,0.9825424930868862,7
32450,200.4615793639048,2017-11-23 12:50:00,624.6416971683502,6168.0,52.0,0.11906863401229895,0.19865169991556936,0.5993839169909209,0.9803772036395668,7
