mins,area,time,Arc_lenght,hullArea,radius,roundness,roundness2,compact,eccentricity,lNumWaSh,leaf
19625.0,14.174631369282586,2017-11-14 15:05:00,125.39696860313416,353.5,17.0,0.15583693566173326,0.2825043936226805,0.5516265912305516,0.9704889752077648,,4
19640.0,3.358647593524789,2017-11-14 15:20:00,28.38477599620819,51.5,4.0,0.7252569084824732,0.8032415222977929,0.9029126213592232,0.9005075914510831,,1
19655.0,13.605369065295331,2017-11-14 15:35:00,114.32590091228485,346.0,17.0,0.1927680153881489,0.33265702406134423,0.5794797687861272,0.9674360594705608,,2
19670.0,13.206885452504256,2017-11-14 15:50:00,109.74011445045471,333.0,17.0,0.1972154117298312,0.34747477304779784,0.5675675675675675,0.973117452212346,,2
19685.0,13.036106761308078,2017-11-14 16:05:00,114.81118214130402,334.0,17.0,0.1806552974171564,0.3184109199859115,0.5673652694610778,0.9738018840627676,,2
19700.0,11.271393618947597,2017-11-14 16:20:00,114.56854152679443,323.0,17.0,0.14647736737934886,0.3092299978008475,0.4736842105263158,0.9690415077620184,,3
19715.0,11.385246079745047,2017-11-14 16:35:00,91.84061968326569,323.0,16.0,0.26295713717721475,0.4812190102449879,0.5464396284829721,0.9708828501829959,,2
19730.0,15.37008220765581,2017-11-14 16:50:00,115.74011445045471,386.0,17.0,0.2195118179318709,0.36210069111838544,0.6062176165803109,0.9716475482063088,,3
19745.0,7.1727050302393796,2017-11-14 17:05:00,73.94112491607666,166.0,10.0,0.23444335557160104,0.3815450688714292,0.6144578313253012,0.9964602742281858,,2
19760.0,12.922254300510625,2017-11-14 17:20:00,125.88224983215332,353.5,17.0,0.139570469476736,0.2803304600001487,0.4978783592644978,0.968081926138226,,4
19775.0,7.4573361822330035,2017-11-14 17:35:00,77.3553384542465,181.5,12.0,0.2257551919087165,0.3811587658737866,0.5922865013774105,0.967032845347136,,3
19790.0,13.206885452504256,2017-11-14 17:50:00,117.74011445045471,357.5,17.0,0.16679336854990295,0.3240686372640777,0.5146853146853146,0.9635595923478492,,3
20525.0,10.588278854162894,2017-11-15 06:05:00,108.911687374115,309.5,17.0,0.1461975104222777,0.327884996200688,0.4458804523424879,0.9763584278917694,,3
20540.0,11.499098540542498,2017-11-15 06:20:00,120.32590091228485,339.5,16.0,0.13409732165159113,0.2946669301017165,0.4550810014727541,0.9854331252955844,,3
20555.0,12.466844457320828,2017-11-15 06:35:00,115.74011445045471,352.5,17.0,0.17073141394701075,0.3306748539358313,0.5163120567375886,0.9741778905166232,,3
20570.0,12.808401839713175,2017-11-15 06:50:00,131.53910398483276,374.0,17.0,0.12274019536254473,0.2716262311573475,0.4518716577540106,0.9753388672129604,,4
20585.0,12.922254300510625,2017-11-15 07:05:00,131.29646337032318,364.0,17.0,0.1264745920234126,0.2653415071845659,0.4766483516483517,0.9703002476795064,,4
20600.0,7.912746025422808,2017-11-15 07:20:00,83.59797906875609,188.5,10.0,0.19959115221291224,0.3389453350642698,0.5888594164456233,0.9673889649299277,,3
20615.0,13.206885452504256,2017-11-15 07:35:00,131.63960921764374,372.5,17.0,0.13161740521939214,0.2701238757257497,0.487248322147651,0.9779784520864891,,4
20630.0,11.328319849346325,2017-11-15 07:50:00,100.66904675960541,316.0,17.0,0.20025827834520216,0.3918366313132129,0.5110759493670886,0.9773013389276144,,2
20645.0,12.580696918118274,2017-11-15 08:05:00,131.63960921764374,350.5,17.0,0.11856443941251027,0.25417025085067185,0.4664764621968616,0.9747849147043052,,4
20660.0,10.929836236555245,2017-11-15 08:20:00,94.18376553058624,312.5,17.0,0.22453654248277446,0.44269823044711054,0.5072,0.9793995675757476,,2
20675.0,9.848237858979466,2017-11-15 08:35:00,106.32590091228485,300.0,16.0,0.14283506910063076,0.3334670873944687,0.4283333333333333,0.9748645702883678,,2
20690.0,12.865328070111904,2017-11-15 08:50:00,128.46803629398346,360.5,17.0,0.12982073866117658,0.2744890104830156,0.4729542302357837,0.9677049547646676,,3
20705.0,12.865328070111904,2017-11-15 09:05:00,118.56854152679443,362.0,17.0,0.160001457737675,0.3235783670449069,0.494475138121547,0.9733715703653276,,3
20720.0,12.979180530909352,2017-11-15 09:20:00,112.32590091228485,361.0,17.0,0.1857500242251416,0.359548304264215,0.5166204986149584,0.9754388484101859,,3
20735.0,12.296065766124652,2017-11-15 09:35:00,115.9827550649643,362.0,17.0,0.1639457425890614,0.3381672867079215,0.4848066298342542,0.9761636010025856,,3
20750.0,13.14995922210553,2017-11-15 09:50:00,119.49747383594513,370.5,17.0,0.16764376088823565,0.326047314483419,0.5141700404858299,0.97387811734117,,4
20765.0,12.352991996523375,2017-11-15 10:05:00,114.08326029777528,349.5,16.0,0.17089890586630005,0.33745292429532125,0.5064377682403434,0.9768116861068864,,3
20780.0,12.751475609314456,2017-11-15 10:20:00,122.81118214130402,354.0,17.0,0.15205367085832264,0.29494246292518483,0.5155367231638418,0.9724213036085962,,3
20795.0,13.320737913301704,2017-11-15 10:35:00,129.39696860313416,372.0,17.0,0.13809548595494067,0.27919304769151043,0.4946236559139785,0.97685318189002,,4
20810.0,13.093032991706805,2017-11-15 10:50:00,105.01219260692595,358.5,17.0,0.23303637901042265,0.4085258771405208,0.5704323570432357,0.9790525029176947,,3
20825.0,10.417500162966716,2017-11-15 11:05:00,96.66904675960541,299.5,16.0,0.1943134393796559,0.4027465404443387,0.4824707846410685,0.9813418119668396,,2
20840.0,13.093032991706805,2017-11-15 11:20:00,110.66904675960541,373.5,17.0,0.19750962274568806,0.383219969327348,0.5153949129852744,0.9645869141653168,,3
20855.0,12.182213305327199,2017-11-15 11:35:00,122.56854152679443,361.5,17.0,0.13718154045065642,0.3023849199567823,0.4536652835408022,0.9683575565501624,,3
20870.0,12.751475609314456,2017-11-15 11:50:00,118.08326029777528,367.5,16.0,0.15861558622937866,0.3312001587460037,0.4789115646258503,0.968360368488432,,3
20885.0,13.036106761308078,2017-11-15 12:05:00,134.46803629398346,366.0,17.0,0.11849393499880055,0.25436234727015256,0.4658469945355192,0.9723708956392704,,3
20900.0,12.694549378915728,2017-11-15 12:20:00,120.32590091228485,361.5,17.0,0.15232414207025402,0.3137616943498395,0.4854771784232365,0.9727175355792405,,3
20915.0,12.523770687719553,2017-11-15 12:35:00,117.25483322143556,356.0,17.0,0.16817683710085474,0.3253856196081756,0.5168539325842697,0.97799721848667,,4
20930.0,13.036106761308078,2017-11-15 12:50:00,128.22539567947388,367.5,17.0,0.13222326327739506,0.2808788974245242,0.4707482993197279,0.9756638289838784,,3
20945.0,12.694549378915728,2017-11-15 13:05:00,125.63960921764374,365.0,17.0,0.13493555905050186,0.290569197955358,0.4643835616438356,0.9762879696212474,,3
20960.0,13.206885452504256,2017-11-15 13:20:00,127.9827550649643,377.0,17.0,0.14384945679289712,0.2892333077915851,0.4973474801061008,0.9777132679689896,,4
20975.0,12.352991996523375,2017-11-15 13:35:00,118.56854152679443,361.5,17.0,0.14927510302900404,0.3231314355987123,0.4619640387275242,0.9764254682288018,,3
20990.0,12.751475609314456,2017-11-15 13:50:00,119.9827550649643,382.5,17.0,0.15668833179895347,0.3338901777888563,0.4692810457516339,0.9699832639446556,,4
21005.0,12.922254300510625,2017-11-15 14:05:00,114.08326029777528,373.5,17.0,0.18441633344894529,0.3606256572941416,0.5113788487282463,0.9774807896904188,,3
21020.0,14.060778908485133,2017-11-15 14:20:00,122.46803629398346,384.5,17.0,0.17469095332501286,0.32215190193509563,0.5422626788036411,0.9772607715290332,,3
21035.0,13.036106761308078,2017-11-15 14:35:00,120.81118214130402,376.5,17.0,0.15799075145566852,0.3241608606161264,0.4873837981407703,0.9738538819930967,,3
21050.0,12.694549378915728,2017-11-15 14:50:00,109.84061968326569,357.5,17.0,0.1911260937978521,0.3723573762001752,0.5132867132867133,0.9859702178122622,,3
21065.0,12.979180530909352,2017-11-15 15:05:00,131.63960921764374,373.5,17.0,0.1236405927818532,0.2708490404927987,0.4564926372155288,0.9753401497873028,,4
21080.0,12.296065766124652,2017-11-15 15:20:00,121.63960921764374,363.5,17.0,0.13886013671932182,0.3087196311772078,0.4497936726272352,0.9714445165395408,,3
21095.0,11.783729692536125,2017-11-15 15:35:00,115.74011445045471,351.0,17.0,0.15384588949071298,0.3292677268978065,0.4672364672364672,0.9709588735711544,,3
21110.0,13.434590374099155,2017-11-15 15:50:00,146.1248904466629,376.0,17.0,0.1015197562385577,0.2212836425837548,0.4587765957446808,0.9746688470184672,,4
21125.0,13.320737913301704,2017-11-15 16:05:00,123.39696860313416,369.5,17.0,0.1543272043040018,0.3049406523546987,0.5060893098782138,0.9738583150282714,,4
21140.0,12.637623148517006,2017-11-15 16:20:00,119.15432798862456,358.5,17.0,0.15356410036837725,0.31730680104935577,0.4839609483960948,0.9689356335066214,,3
21155.0,13.036106761308078,2017-11-15 16:35:00,110.66904675960541,355.5,17.0,0.19032745464584488,0.3647515370706084,0.5218002812939522,0.9789707106483182,,3
21170.0,12.296065766124652,2017-11-15 16:50:00,123.88224983215332,361.5,17.0,0.13346866005141392,0.29600564790543643,0.4508990318118949,0.9703137759745202,,3
21185.0,13.605369065295331,2017-11-15 17:05:00,114.911687374115,370.0,17.0,0.1855735481721346,0.35211391191635794,0.527027027027027,0.9815158938362916,,3
21200.0,12.694549378915728,2017-11-15 17:20:00,122.46803629398346,361.5,17.0,0.1428527939660177,0.3028814370599144,0.4716459197786999,0.9815704356358677,,3
21215.0,12.751475609314456,2017-11-15 17:35:00,115.15432798862456,353.5,17.0,0.17484197517834218,0.3349953291357396,0.5219236209335221,0.9802190784707157,,3
22095.0,11.271393618947597,2017-11-16 08:15:00,116.56854152679443,343.0,17.0,0.1359453863534697,0.3172059014914293,0.42857142857142855,0.9951258963512164,,3
22110.0,10.75905754535907,2017-11-16 08:30:00,115.9827550649643,336.0,17.0,0.1303158466733565,0.31387902854657906,0.41517857142857145,0.9974279104855116,,3
22125.0,11.9545083837323,2017-11-16 08:45:00,119.9827550649643,356.5,17.0,0.13748419085423494,0.3111943748541889,0.4417952314165498,0.9907103060702924,,4
22140.0,10.75905754535907,2017-11-16 09:00:00,123.0538227558136,342.0,17.0,0.11286480941285487,0.28382180014114977,0.3976608187134503,0.9935969237823884,,4
22155.0,11.043688697352696,2017-11-16 09:15:00,117.39696860313416,350.5,17.0,0.13038635237121746,0.3195833322105714,0.4079885877318117,0.9927880088959667,,3
22170.0,12.068360844529753,2017-11-16 09:30:00,119.74011445045471,353.5,17.0,0.14198600530308192,0.3098274868804905,0.4582743988684583,0.9937085296202464,,4
22185.0,11.328319849346325,2017-11-16 09:45:00,109.74011445045471,345.0,17.0,0.1617375069742002,0.3599963864909617,0.4492753623188406,0.9940779778680152,,3
22200.0,11.21446738854887,2017-11-16 10:00:00,112.911687374115,334.5,17.0,0.14489366690834396,0.3297070175567419,0.4394618834080717,0.9946269577841108,,3
22215.0,11.385246079745047,2017-11-16 10:15:00,122.22539567947388,359.0,17.0,0.1253352491492275,0.30198224459444745,0.41504178272980496,0.991495875601756,,3
22230.0,11.328319849346325,2017-11-16 10:30:00,116.22539567947388,355.0,17.0,0.1386098411082394,0.3302449234458053,0.4197183098591549,0.9921947787040656,,3
22245.0,10.75905754535907,2017-11-16 10:45:00,109.15432798862456,348.0,17.0,0.15240379821036545,0.36703475278344055,0.4152298850574713,0.9919950781883424,,3
22260.0,11.21446738854887,2017-11-16 11:00:00,112.32590091228485,343.5,17.0,0.1479028343025926,0.34211867732619905,0.43231441048034935,0.9938968151850079,,3
22275.0,10.986762466953973,2017-11-16 11:15:00,109.49747383594513,347.5,17.0,0.15459437383421876,0.3642138637789221,0.4244604316546763,0.9923061103065796,,3
22290.0,11.612951001339948,2017-11-16 11:30:00,112.32590091228485,356.0,17.0,0.15885859980648834,0.3545684108533533,0.44803370786516855,0.9938781093977708,,3
22305.0,11.271393618947597,2017-11-16 11:45:00,122.81118214130402,341.5,17.0,0.1203931804878226,0.28452782793488873,0.42313323572474376,0.9947767864138672,,3
22320.0,11.840655922934847,2017-11-16 12:00:00,112.32590091228485,358.5,17.0,0.16085055717083305,0.3570583575587842,0.4504881450488145,0.9942203552351758,,3
22335.0,10.417500162966716,2017-11-16 12:15:00,106.66904675960541,315.0,16.0,0.15185732102749314,0.3478913172629843,0.4365079365079365,0.9970521187278332,,3
22350.0,11.043688697352696,2017-11-16 12:30:00,112.911687374115,344.5,17.0,0.1419366532979696,0.33956372959132297,0.41799709724238027,0.994798168580561,,3
22365.0,11.21446738854887,2017-11-16 12:45:00,116.66904675960541,349.5,17.0,0.134326456512723,0.3226604573965408,0.4163090128755365,0.9932831856079664,,3
22380.0,10.929836236555245,2017-11-16 13:00:00,113.9827550649643,341.5,17.0,0.1378308480389051,0.33031041828270946,0.4172767203513909,0.9942275041532379,,3
22395.0,11.385246079745047,2017-11-16 13:15:00,110.56854152679443,343.5,16.0,0.1572671921107177,0.353080264640729,0.445414847161572,0.9951027577288452,,3
22410.0,11.442172310143773,2017-11-16 13:30:00,119.74011445045471,355.0,17.0,0.1297156097830625,0.3111421721147783,0.4169014084507042,0.9911075634387638,,3
22425.0,11.612951001339948,2017-11-16 13:45:00,120.32590091228485,355.0,17.0,0.1306255463337506,0.3081200594583486,0.42394366197183103,0.9918825160643217,,3
22440.0,12.409918226922102,2017-11-16 14:00:00,117.74011445045471,365.0,17.0,0.1531960830702913,0.3308672800038836,0.46301369863013697,0.9924772595821364,,3
22455.0,11.840655922934847,2017-11-16 14:15:00,115.9827550649643,361.0,17.0,0.14899912218208144,0.3372331229324852,0.44182825484764543,0.9929364257500798,,3
22470.0,11.21446738854887,2017-11-16 14:30:00,114.911687374115,352.5,17.0,0.13894224632375207,0.3354598755419357,0.41418439716312055,0.9924639286818436,,3
22485.0,11.840655922934847,2017-11-16 14:45:00,113.74011445045471,350.0,17.0,0.15638979782521634,0.3399778213591659,0.46,0.9920926161502748,,3
22500.0,11.783729692536125,2017-11-16 15:00:00,113.74011445045471,351.0,17.0,0.15347570221356635,0.3409491865630493,0.4501424501424501,0.9924758459417621,,3
22515.0,11.9545083837323,2017-11-16 15:15:00,115.9827550649643,363.5,17.0,0.15366994105926268,0.3395685323710759,0.452544704264099,0.9910366443675612,,3
22530.0,11.556024770941224,2017-11-16 15:30:00,114.56854152679443,357.5,17.0,0.15030684103632524,0.3422592080922693,0.4391608391608392,0.9913961674047396,,3
