mins,area,time,Arc_lenght,hullArea,radius,roundness,roundness2,compact,eccentricity,leaf
17945,12.95017909848984,2017-11-13 11:05:00,125.15432798862456,349.5,15.0,0.1432043924788729,0.2803917936771209,0.5107296137339056,0.9571928268660224,4
17960,13.344314984096053,2017-11-13 11:20:00,120.32590091228485,348.0,15.0,0.16534329951215607,0.3020444526521276,0.5474137931034483,0.955069096140864,4
17975,13.738450869702266,2017-11-13 11:35:00,121.49747383594513,354.0,15.0,0.1681289371561574,0.3013551582444543,0.5579096045197739,0.9529675720847288,4
17990,13.682145743187089,2017-11-13 11:50:00,129.15432798862454,348.5,15.0,0.14351157010975624,0.2625395390196853,0.5466284074605452,0.953795805600818,5
18005,14.01997650227813,2017-11-13 12:05:00,125.9827550649643,356.5,15.0,0.15795397549223122,0.2822586078344884,0.5596072931276297,0.9529051165495476,4
18020,14.076281628793303,2017-11-13 12:20:00,124.22539567947388,366.0,15.0,0.16204743570120506,0.29803699229467856,0.5437158469945356,0.9539024634823179,4
18035,13.4569252371264,2017-11-13 12:35:00,124.911687374115,352.5,15.0,0.15221782706896278,0.2838983282635417,0.5361702127659574,0.952079449838632,4
18050,13.11909447803536,2017-11-13 12:50:00,124.81118214130402,353.0,15.0,0.1544797824346222,0.28475907675938195,0.5424929178470255,0.9579417752990512,4
18065,14.01997650227813,2017-11-13 13:05:00,131.0538227558136,368.0,15.0,0.14267408245825822,0.2692516017673796,0.529891304347826,0.9553500692827568,5
18080,13.625840616671915,2017-11-13 13:20:00,131.29646337032318,356.0,15.0,0.13668003460743436,0.25950982570798203,0.526685393258427,0.9537661212953608,4
18095,13.794755996217434,2017-11-13 13:35:00,134.22539567947388,360.5,15.0,0.13043137865904614,0.2514465882705141,0.5187239944521498,0.9471277266536448,5
18110,13.963671375762956,2017-11-13 13:50:00,121.25483322143556,353.0,15.0,0.16495635661840305,0.30170774034350395,0.5467422096317279,0.9565767489400742,4
18125,13.851061122732613,2017-11-13 14:05:00,131.0538227558136,365.5,15.0,0.1419424204969338,0.26742244686406863,0.53077975376197,0.9523005831585176,4
18140,14.52672264091469,2017-11-13 14:20:00,133.9827550649643,370.5,15.0,0.14035452967873094,0.2593583703040889,0.5411605937921727,0.9546121618271304,4
18155,14.808248273490555,2017-11-13 14:35:00,127.9827550649643,375.0,15.0,0.15919339885080613,0.28769891358579425,0.5533333333333333,0.9561029006877528,4
18170,14.470417514399516,2017-11-13 14:50:00,131.39696860313416,377.0,15.0,0.14702478114177112,0.2743977351012263,0.5358090185676393,0.9542220088806446,4
18185,13.794755996217434,2017-11-13 15:05:00,135.88224983215332,369.5,15.0,0.1272699907736093,0.25147733471042044,0.5060893098782138,0.9511472511185596,4
18200,14.245197008338824,2017-11-13 15:20:00,132.81118214130402,374.0,15.0,0.13856711821210138,0.26644782627931063,0.5200534759358288,0.9521232181437476,5
18215,14.01997650227813,2017-11-13 15:35:00,133.63960921764374,366.5,15.0,0.13615087580365198,0.25787749861518583,0.5279672578444747,0.9510594425665396,4
18230,13.569535490156744,2017-11-13 15:50:00,131.0538227558136,369.0,15.0,0.1353574628450142,0.26998326372870396,0.5013550135501355,0.9527472653400996,4
18245,13.400620110611225,2017-11-13 16:05:00,137.63960921764374,376.5,15.0,0.1223825146744781,0.24973992831946346,0.4900398406374502,0.9574922873799356,5
18260,13.11909447803536,2017-11-13 16:20:00,135.9827550649643,366.5,15.0,0.1199463127496094,0.2490669893639198,0.4815825375170532,0.953415278331514,4
18275,13.400620110611225,2017-11-13 16:35:00,132.91168737411502,364.0,16.0,0.12733170423084228,0.2589315102794781,0.4917582417582417,0.9504847836268306,4
18290,15.033468779551251,2017-11-13 16:50:00,137.0538227558136,378.5,16.0,0.13915246112148005,0.2532173391080777,0.5495376486129459,0.9537065582489358,4
18305,14.639332893945037,2017-11-13 17:05:00,125.39696860313416,379.0,16.0,0.16862355602372164,0.3028830698245995,0.5567282321899736,0.9525246991492065,4
