mins,area,time,Arc_lenght,hullArea,radius,roundness,roundness2,compact,eccentricity,lNumWaSh,leaf
17965.0,7.675312499999999,2017-11-13 11:25:00,73.3553384542465,159.0,10.0,0.2276937077977381,0.3713158927163116,0.6132075471698113,0.8365089007778034,,3
17980.0,6.435454326923076,2017-11-13 11:40:00,71.3553384542465,136.0,10.0,0.19127518278642056,0.3356570949542349,0.5698529411764706,0.9485592570020108,,4
17995.0,7.0849038461538445,2017-11-13 11:55:00,69.5979790687561,141.0,10.0,0.2334850700371456,0.365793276391528,0.6382978723404256,0.9222801559532646,,3
18010.0,6.435454326923076,2017-11-13 12:10:00,73.01219260692595,132.5,10.0,0.1826925278137651,0.31234528948805,0.5849056603773585,0.951181644301376,,3
18025.0,6.553536057692307,2017-11-13 12:25:00,66.28427076339722,131.5,9.0,0.23453234775725115,0.3761098015863235,0.623574144486692,0.9657006200934282,,3
18040.0,5.963127403846152,2017-11-13 12:40:00,66.5269113779068,120.0,9.0,0.2030117540931737,0.34071902784868313,0.5958333333333333,0.9085568236739828,,2
18055.0,6.25833173076923,2017-11-13 12:55:00,65.11269783973694,123.0,9.0,0.2282281496092815,0.3645722389862549,0.6260162601626016,0.9442435764415708,,2
18070.0,6.081209134615384,2017-11-13 13:10:00,60.870057225227356,124.5,10.0,0.25945609603496184,0.42225207786082025,0.6144578313253012,0.9468523405545544,,2
18085.0,4.5461466346153845,2017-11-13 13:25:00,60.870057225227356,99.0,9.0,0.1678833562579165,0.335766712515833,0.5,0.9826857426296796,,3
18100.0,5.254637019230769,2017-11-13 13:40:00,60.041630148887634,107.5,9.0,0.2143779086501885,0.3747256126812238,0.5720930232558139,0.9426930432285248,,2
18115.0,5.667923076923076,2017-11-13 13:55:00,61.11269783973694,116.5,9.0,0.23216462258514625,0.39198809465463097,0.592274678111588,0.9621555860716874,,3
18130.0,5.786004807692307,2017-11-13 14:10:00,63.69848430156708,121.0,9.0,0.21524668501884464,0.3747460271551109,0.5743801652892562,0.8950308862726631,,3
18145.0,6.081209134615384,2017-11-13 14:25:00,60.870057225227356,116.0,9.0,0.2560645130802565,0.3934236227458245,0.6508620689655172,0.9847018826455732,,3
18160.0,5.37271875,2017-11-13 14:40:00,63.11269783973694,123.0,9.0,0.1987544784876095,0.3880444579996185,0.5121951219512195,0.875900578163892,,3
18175.0,5.37271875,2017-11-13 14:55:00,60.28427076339722,111.0,9.0,0.2213002040900412,0.3838175414686653,0.5765765765765766,0.934515681286051,,3
18190.0,5.195596153846154,2017-11-13 15:10:00,58.041630148887634,107.5,9.0,0.23313671803404884,0.4009951550185639,0.5813953488372093,0.9480981818041287,,2
18205.0,5.963127403846152,2017-11-13 15:25:00,63.11269783973694,119.0,9.0,0.23030280840627765,0.3754251260321512,0.6134453781512605,0.9170431150287832,,2
18220.0,6.25833173076923,2017-11-13 15:40:00,59.69848430156708,125.0,9.0,0.2873696261749054,0.4407509603909592,0.652,0.8749681780914061,,2
18235.0,5.549841346153847,2017-11-13 15:55:00,61.4558436870575,113.0,9.0,0.2195975190015529,0.3759775704117498,0.584070796460177,0.8779260380259996,,3
18250.0,3.6014927884615378,2017-11-13 16:10:00,40.62741661071777,62.5,8.0,0.32737077343635856,0.4758296125528467,0.688,0.9156137210870092,,2
18265.0,3.5424519230769227,2017-11-13 16:25:00,43.455843687057495,68.0,8.0,0.2728332827860128,0.4525039812060701,0.6029411764705882,0.9032982043985812,,2
18280.0,4.014778846153845,2017-11-13 16:40:00,44.041630148887634,75.5,9.0,0.3142134937212618,0.489136469607325,0.6423841059602649,0.9075695992654338,,2
18295.0,4.191901442307692,2017-11-13 16:55:00,47.11269783973694,80.0,9.0,0.28873809827686164,0.4529225071009595,0.6375,0.9057006006146948,,2
18310.0,4.1328605769230755,2017-11-13 17:10:00,45.4558436870575,78.0,9.0,0.30408879838899233,0.474378525486828,0.6410256410256411,0.9091674872877236,,2
18325.0,4.4280649038461535,2017-11-13 17:25:00,46.870057225227356,82.0,9.0,0.3117564150463147,0.4690646978678496,0.6646341463414634,0.9040490244011656,,2
18340.0,4.2509423076923065,2017-11-13 17:40:00,44.62741661071777,77.5,9.0,0.3281026313120383,0.4889991139746725,0.6709677419354839,0.903149470505504,,2
18355.0,3.83765625,2017-11-13 17:55:00,44.041630148887634,72.5,8.0,0.2947776075116992,0.4697005833977624,0.6275862068965518,0.913290640033276,,2
19085.0,5.904086538461537,2017-11-14 06:05:00,50.870057225227356,109.5,10.0,0.3763458350707277,0.5317402443902539,0.7077625570776256,0.8231663962222463,,2
19100.0,5.786004807692307,2017-11-14 06:20:00,52.041630148887634,111.5,10.0,0.3456721198178002,0.5173482061702648,0.6681614349775785,0.7976791388363229,,2
19160.0,5.608882211538462,2017-11-14 07:20:00,48.870057225227356,104.5,9.0,0.3867332456635037,0.5498452268277025,0.7033492822966507,0.7508277674119443,,2
19175.0,0.472326923076923,2017-11-14 07:35:00,10.242640614509584,4.0,2.0,0.299451162274845,0.4791218596397519,0.625,0.0,,1
19205.0,5.077514423076923,2017-11-14 08:05:00,41.798989534378045,84.0,7.0,0.4818957548924368,0.6041678121039505,0.7976190476190477,0.8276674700988801,,2
19220.0,5.667923076923076,2017-11-14 08:20:00,50.041630148887634,106.0,9.0,0.3688368510532472,0.5319279756686286,0.6933962264150944,0.8117539542700939,,2
19235.0,5.37271875,2017-11-14 08:35:00,48.62741661071777,100.0,9.0,0.3666878830365174,0.5314317145456774,0.69,0.8505440683021138,,2
