mins,area,time,Arc_lenght,hullArea,radius,roundness,roundness2,compact,eccentricity,leaf
17945,31.49052429521409,2017-11-13 11:05:00,168.26702582836148,716.5,19.0,0.20127466774536776,0.31800066028568025,0.6329378925331473,0.8798728169910723,4
17960,30.113562206259857,2017-11-13 11:20:00,168.0243852138519,702.0,19.0,0.1913963668251854,0.3124656965378608,0.6125356125356125,0.9731181205964292,4
17975,32.14907138123567,2017-11-13 11:35:00,168.26702582836148,729.0,20.0,0.20615674347899304,0.3235484736193453,0.6371742112482853,0.9713332295636624,4
17990,32.44841096579094,2017-11-13 11:50:00,167.68123936653137,726.5,20.0,0.21005778004083514,0.3246956961695037,0.6469373709566414,0.9678905299215272,4
18005,31.729995962858297,2017-11-13 12:05:00,169.68123936653137,725.5,20.0,0.199461191404416,0.3166500970763759,0.6299104066161269,0.9352679379637838,4
18020,32.08920346432462,2017-11-13 12:20:00,173.09545290470123,738.5,20.0,0.19355760983954684,0.3097341167204883,0.6249153689911984,0.930644291941754,4
18035,32.98722221799042,2017-11-13 12:35:00,171.09545290470126,745.5,20.0,0.20497755310629545,0.32002254626333665,0.6405097250167673,0.9552531580950104,4
18050,32.14907138123567,2017-11-13 12:50:00,169.09545290470126,731.5,20.0,0.2041416984723221,0.3214847199838615,0.6349965823650034,0.9468268630711508,4
18065,33.4062976363678,2017-11-13 13:05:00,170.26702582836148,745.5,20.0,0.21001124302364696,0.3231442346215249,0.6498993963782697,0.9526187536021576,4
18080,34.364184306944644,2017-11-13 13:20:00,160.95331752300262,750.0,20.0,0.2456911133833121,0.3638071767768689,0.6753333333333333,0.9529778922873396,4
18095,32.508278882702,2017-11-13 13:35:00,172.2670258283615,737.5,20.0,0.1983878851431393,0.31229683093503785,0.6352542372881356,0.9760398581248348,4
18110,34.124712639300434,2017-11-13 13:50:00,170.16652059555054,750.0,20.0,0.2161180144991874,0.3254789374987763,0.664,0.921924739928177,4
18125,33.34642971945674,2017-11-13 14:05:00,172.5096664428711,748.0,20.0,0.2039530122286716,0.3158526980270111,0.6457219251336899,0.9511171625353392,4
18140,34.24444847312254,2017-11-13 14:20:00,169.43859875202182,752.5,20.0,0.21819777831435413,0.32937578371424564,0.6624584717607973,0.977067916576609,4
18155,35.44180681134361,2017-11-13 14:35:00,162.85281229019162,765.0,20.0,0.2482850816406784,0.3624772661357231,0.6849673202614379,0.9696904458557458,4
18170,35.381938894432565,2017-11-13 14:50:00,170.26702582836148,770.5,20.0,0.2243154143751028,0.3339807280695975,0.6716417910447762,0.950612986701288,4
18185,33.70563722092306,2017-11-13 15:05:00,170.26702582836148,753.0,20.0,0.21217854171326148,0.3263951826559467,0.650066401062417,0.9529669049623364,4
18200,33.286561802545684,2017-11-13 15:20:00,168.85281229019162,746.5,20.0,0.2128827139056356,0.3290205919887308,0.6470194239785666,0.9288022214589188,4
18215,34.60365597458886,2017-11-13 15:35:00,168.0243852138519,759.5,20.0,0.22477945406213634,0.33805939675285657,0.6649111257406188,0.9706750428989256,4
18230,34.364184306944644,2017-11-13 15:50:00,168.0243852138519,771.5,20.0,0.2234441305726584,0.3434006907107687,0.6506804925469863,0.9576249867082579,4
