mins,area,time,Arc_lenght,hullArea,radius,roundness,roundness2,compact,eccentricity,leaf
17945,23.25401725076653,2017-11-13 11:05:00,147.78174459934237,546.5,16.0,0.20110157210563206,0.3144549618189641,0.6395242451967064,0.5512505250979222,4
17960,23.92967876894861,2017-11-13 11:20:00,144.95331752300262,556.0,16.0,0.21680113728089054,0.3325280891811728,0.6519784172661871,0.6123761301458872,4
17975,24.211204401524487,2017-11-13 11:35:00,147.29646337032318,559.5,16.0,0.21169597774911755,0.3240599166911936,0.6532618409294012,0.494609518965443,4
17990,24.54903516061552,2017-11-13 11:50:00,146.36753106117246,555.0,16.0,0.21879087315091847,0.3255467415516348,0.6720720720720721,0.5956202844152012,4
18005,23.310322377281707,2017-11-13 12:05:00,147.78174459934237,546.5,16.0,0.2016769700229587,0.3144549618189641,0.6413540713632205,0.6211675344736746,4
18020,24.267509528039646,2017-11-13 12:20:00,145.88224983215332,561.5,16.0,0.2172965232808992,0.3315543419082198,0.6553873552983079,0.5740518872946927,4
18035,24.267509528039646,2017-11-13 12:35:00,147.53910398483274,556.5,16.0,0.2118661842892884,0.32126302876563745,0.6594788858939802,0.6397291683435248,4
18050,24.154899275009303,2017-11-13 12:50:00,142.46803629398346,553.0,16.0,0.2269075603916897,0.3423734813004212,0.6627486437613019,0.7404709978990379,4
18065,23.81706851591827,2017-11-13 13:05:00,147.29646337032318,554.5,16.0,0.2076416088182179,0.32116393888340816,0.6465284039675383,0.6206177729443096,4
18080,23.648153136372752,2017-11-13 13:20:00,147.53910398483274,560.0,16.0,0.20551597168116253,0.323283550959132,0.6357142857142857,0.2869661438188319,4
18095,24.83056079319139,2017-11-13 13:35:00,143.88224983215332,562.0,16.0,0.2294495570677607,0.3411392885504802,0.6725978647686833,0.6070258112817057,4
18110,25.055781299252075,2017-11-13 13:50:00,147.19595813751218,574.5,16.0,0.22155494985600746,0.3332024049536028,0.6649260226283725,0.6206347058059665,4
18125,24.999476172736905,2017-11-13 14:05:00,149.78174459934237,579.0,16.0,0.2125709310382365,0.32431770506228963,0.6554404145077719,0.5059954732593454,4
18140,24.60534028713069,2017-11-13 14:20:00,151.19595813751218,574.0,16.0,0.20449017232504585,0.31553053471660303,0.6480836236933798,0.6139570968092134,4
18155,25.44991718485829,2017-11-13 14:35:00,152.0243852138519,586.5,16.0,0.2104235375195037,0.3188976867059146,0.659846547314578,0.5876021341659967,4
18170,25.506222311373467,2017-11-13 14:50:00,150.36753106117246,584.0,16.0,0.2156420499646385,0.3245746319055384,0.6643835616438356,0.6562986133117451,4
18185,24.77425566667621,2017-11-13 15:05:00,145.0538227558136,571.5,16.0,0.2245635946407957,0.3413247189819541,0.657917760279965,0.4565196021834376,4
18200,25.281001805312773,2017-11-13 15:20:00,150.710676908493,578.5,16.0,0.21189494541621445,0.3200554201652221,0.662057044079516,0.5760058082755559,4
18215,24.77425566667621,2017-11-13 15:35:00,146.710676908493,570.5,16.0,0.2195200875178194,0.3330750264066914,0.6590709903593339,0.5267039600995522,4
18230,24.999476172736905,2017-11-13 15:50:00,147.78174459934237,579.0,16.0,0.21893890754275544,0.3331553941320773,0.657167530224525,0.6020099547516986,4
18245,24.88686591970656,2017-11-13 16:05:00,148.6101716756821,574.5,16.0,0.21593576146536386,0.3268908958151556,0.6605744125326372,0.4642587626750591,4
18260,25.787747943949327,2017-11-13 16:20:00,150.95331752300262,582.5,16.0,0.21645329487166856,0.3212332337904381,0.6738197424892703,0.4562682103982968,4
18275,25.055781299252075,2017-11-13 16:35:00,149.29646337032318,585.5,16.0,0.2139550808478367,0.3300940707151736,0.6481639624252775,0.6364639190208523,4
18290,25.337306931827946,2017-11-13 16:50:00,151.53910398483274,589.5,16.0,0.2101317407709712,0.32258505516793623,0.6513994910941476,0.7225477860537445,4
18305,26.350799209101066,2017-11-13 17:05:00,151.78174459934237,597.5,16.0,0.2195516311430208,0.32591825989554024,0.6736401673640168,0.4846621176148124,4
18320,24.88686591970656,2017-11-13 17:20:00,151.29646337032318,577.0,16.0,0.2061399910125712,0.3167583883202492,0.6507798960138648,0.6231641086722695,4
18335,25.39361205834312,2017-11-13 17:35:00,150.1248904466629,583.0,16.0,0.21494573859565647,0.3250670962419397,0.6612349914236707,0.2689092228648391,4
18350,24.88686591970656,2017-11-13 17:50:00,148.710676908493,573.5,16.0,0.2142234026854569,0.325880958727081,0.6573670444638187,0.636784594569979,4
19085,26.857545347737627,2017-11-14 06:05:00,157.78174459934237,634.5,17.0,0.2061998843484152,0.3202786453343193,0.6438140267927502,0.5912784941336737,4
19100,26.97015560076797,2017-11-14 06:20:00,161.19595813751218,642.0,17.0,0.19779935724332304,0.31048212066066844,0.6370716510903427,0.8125175073554796,4
19115,26.57601971516177,2017-11-14 06:35:00,158.95331752300262,643.0,17.0,0.2001873154646145,0.319802344953409,0.6259720062208398,0.7805474371886009,4
19130,27.87103762501074,2017-11-14 06:50:00,161.19595813751218,651.0,17.0,0.20553722940932093,0.3148346737540423,0.6528417818740401,0.8607910931713721,4
19145,28.096258131071433,2017-11-14 07:05:00,160.6101716756821,664.0,17.0,0.20971858904439228,0.3234683928582497,0.6483433734939759,0.7446182419840229,4
19160,29.16605553485973,2017-11-14 07:20:00,159.78174459934237,676.0,17.0,0.22075878436015808,0.3327378778761803,0.6634615384615384,0.4163398453707046,4
19175,27.645817118950053,2017-11-14 07:35:00,161.78174459934237,668.0,17.0,0.2018909424502021,0.32072092641316297,0.6294910179640718,0.7322761938777301,4
19190,28.490394016677648,2017-11-14 07:50:00,160.6101716756821,674.0,17.0,0.2126414962087741,0.3283399047988859,0.6476261127596439,0.7873997688157907,4
19205,29.44758116743559,2017-11-14 08:05:00,166.0243852138519,685.5,17.0,0.20560924788625126,0.3125169388603664,0.6579139314369074,0.35484797231700943,4
19220,28.20886838410178,2017-11-14 08:20:00,164.85281229019162,673.5,17.0,0.19883168772412388,0.3114259108888313,0.6384558277654045,0.19232845177820104,4
19235,26.97015560076797,2017-11-14 08:35:00,159.19595813751218,653.0,16.0,0.20329638048032994,0.3237866742772085,0.6278713629402757,0.3961701795730653,4
19250,28.43408889016248,2017-11-14 08:50:00,164.6101716756821,675.5,17.0,0.20104146028190906,0.3132722178095261,0.6417468541820873,0.3549310948218949,4
19265,28.20886838410178,2017-11-14 09:05:00,166.85281229019162,668.5,17.0,0.1936422383550958,0.3017478702572996,0.6417352281226627,0.6771714496607448,4
19280,29.729106800011447,2017-11-14 09:20:00,167.19595813751218,690.0,17.0,0.2045359780560249,0.3101754392497961,0.6594202898550725,0.5776204381461023,4
19295,29.729106800011447,2017-11-14 09:35:00,162.6101716756821,688.5,17.0,0.2174230310113509,0.3272038401121642,0.6644880174291941,0.7679204611740731,4
19310,28.32147863713213,2017-11-14 09:50:00,163.53910398483274,677.0,17.0,0.2025088028299427,0.3180938735867081,0.6366322008862629,0.5399814145773243,4
19325,29.22236066137489,2017-11-14 10:05:00,164.1248904466629,684.5,17.0,0.20829671883307546,0.3193261008762377,0.6523009495982469,0.4638814373431908,4
19340,29.729106800011447,2017-11-14 10:20:00,167.43859875202182,691.5,17.0,0.2041677222130655,0.309949461932678,0.6587129428778019,0.5857351672361073,4
19355,29.56019142046593,2017-11-14 10:35:00,163.78174459934237,693.0,17.0,0.21244972321918704,0.32464753735589097,0.6544011544011544,0.4443664257507764,4
19370,29.729106800011447,2017-11-14 10:50:00,166.36753106117246,694.0,17.0,0.2065780233068574,0.3150882377471627,0.6556195965417867,0.660953920799113,4
19385,28.43408889016248,2017-11-14 11:05:00,162.0243852138519,680.0,16.0,0.2082276301871451,0.32550526098220384,0.6397058823529411,0.3983162203810015,4
19400,29.89802217955697,2017-11-14 11:20:00,168.0243852138519,700.5,17.0,0.20385938606031376,0.3117980347931218,0.6538187009279086,0.6834659287572968,4
19415,30.123242685617672,2017-11-14 11:35:00,167.09545290470126,712.0,17.0,0.20860770198180711,0.32045023475953976,0.6509831460674157,0.4044085478126619,4
19430,30.404768318193536,2017-11-14 11:50:00,164.6101716756821,710.5,17.0,0.2172731814119363,0.3295039389395534,0.6593947923997185,0.35559967306576,4
19445,30.235852938648016,2017-11-14 12:05:00,166.85281229019162,699.0,17.0,0.20989193667860034,0.3155149757813799,0.6652360515021459,0.5083037492709843,4
19460,29.278665787890073,2017-11-14 12:20:00,167.43859875202182,695.5,17.0,0.20058190052765493,0.31174237277538325,0.6434219985621855,0.5549824013539686,4
19475,29.841717053041805,2017-11-14 12:35:00,168.26702582836148,701.0,17.0,0.20304996801214056,0.3111213717519356,0.6526390870185449,0.2867491394415699,4
19490,29.33497091440525,2017-11-14 12:50:00,169.68123936653137,699.5,17.0,0.1955330716612218,0.3053021955960372,0.6404574696211579,0.1597540416008693,4
19505,29.503886293950767,2017-11-14 13:05:00,167.43859875202182,697.0,17.0,0.2023748113703602,0.3124147143413977,0.6477761836441894,0.3116311528574863,4
19520,30.066937559102488,2017-11-14 13:20:00,166.0243852138519,707.5,17.0,0.210624107590794,0.3225466582694518,0.6530035335689046,0.467043009617457,4
19535,30.348463191678363,2017-11-14 13:35:00,166.6101716756821,712.0,17.0,0.21118277305883626,0.32231968792688404,0.6551966292134831,0.2869391175703581,4
19550,31.98131186061839,2017-11-14 13:50:00,165.78174459934237,730.0,17.0,0.2270156019229452,0.3337792334415911,0.6801369863013699,0.605581829865437,4
19565,30.517378571223887,2017-11-14 14:05:00,168.85281229019162,713.0,17.0,0.20671220045909536,0.3142554348130811,0.6577840112201964,0.2184257785458846,4
19580,31.024124709860438,2017-11-14 14:20:00,166.85281229019162,720.0,17.0,0.21621126380440767,0.3249939664700909,0.6652777777777777,0.8845348232892913,4
19595,31.925006734103214,2017-11-14 14:35:00,167.09545290470126,731.0,17.0,0.22300995972380894,0.3290015752938533,0.6778385772913816,0.7163985590580912,4
19610,30.404768318193536,2017-11-14 14:50:00,170.0243852138519,718.0,17.0,0.20256917267658944,0.3121130171283073,0.649025069637883,0.2432336471328939,4
19625,30.96781958334527,2017-11-14 15:05:00,170.26702582836148,727.5,17.0,0.20654356512026373,0.31534195933891257,0.6549828178694158,0.6942743168379175,4
19640,30.17954781213284,2017-11-14 15:20:00,169.43859875202182,716.5,17.0,0.20244026573799154,0.31361827113788304,0.6454989532449407,0.5623128450753281,4
19655,30.85520933031492,2017-11-14 15:35:00,170.0243852138519,720.5,17.0,0.2060467550401361,0.31319976161691565,0.6578764746703678,0.4166065166241634,4
19670,31.75609135455769,2017-11-14 15:50:00,164.95331752300262,730.5,17.0,0.2274542153729993,0.3373711763045198,0.6741957563312799,0.10753295388560746,4
19685,30.798904203799747,2017-11-14 16:05:00,169.78174459934237,727.0,17.0,0.20598220036829776,0.31692922681005825,0.6499312242090785,0.046705253258409685,4
19700,31.305650342436305,2017-11-14 16:20:00,168.36753106117246,729.0,17.0,0.2136683593756536,0.323162311171891,0.6611796982167353,0.3760695669022436,4
19715,29.841717053041805,2017-11-14 16:35:00,170.0243852138519,716.0,17.0,0.1982221947221562,0.3112436215374207,0.6368715083798883,0.4469280179954551,4
19730,30.91151445683009,2017-11-14 16:50:00,169.43859875202182,726.0,17.0,0.2081304786127892,0.31777650362331217,0.6549586776859504,0.12549155685891986,4
19745,31.305650342436305,2017-11-14 17:05:00,171.43859875202182,727.5,17.0,0.2058680442664917,0.31104673354906065,0.6618556701030928,0.4471623192315047,4
19760,31.080429836375608,2017-11-14 17:20:00,169.19595813751218,733.0,17.0,0.2098252708533497,0.3217613463085885,0.6521145975443383,0.4142957068601227,4
19775,31.81239648107287,2017-11-14 17:35:00,167.78174459934237,736.0,17.0,0.2194037137486073,0.3285475754200914,0.6677989130434783,0.4332976246108715,4
19790,31.41826059546665,2017-11-14 17:50:00,168.85281229019162,729.0,17.0,0.21376421582656988,0.3213074501805555,0.6652949245541838,0.640385641395808,4
20525,32.262837493194255,2017-11-15 06:05:00,173.43859875202182,778.0,18.0,0.20783153100282006,0.3250109168245105,0.6394601542416453,0.6987329614764755,4
20540,33.33263489698254,2017-11-15 06:20:00,178.0243852138519,803.5,18.0,0.20380460544964105,0.31859338614549915,0.6397013067828251,0.15050251243899412,4
20555,32.43175287273977,2017-11-15 06:35:00,175.68123936653137,786.0,18.0,0.2035771805165089,0.32002332777195197,0.6361323155216285,0.8436406519066412,4
20570,33.38894002349772,2017-11-15 06:50:00,177.43859875202182,802.5,18.0,0.20575118034133585,0.3203013040231271,0.6423676012461059,0.5223456184128219,4
20585,33.895686162134275,2017-11-15 07:05:00,181.68123936653137,818.5,18.0,0.19910922650723886,0.31160784301371897,0.6389737324373854,0.8043185285930162,4
20600,33.38894002349772,2017-11-15 07:20:00,178.0243852138519,818.5,18.0,0.2042011124641345,0.3245409913629011,0.6291997556505803,0.9882719585262014,4
20615,33.67046565607358,2017-11-15 07:35:00,179.43859875202182,820.5,18.0,0.2027513140561255,0.3202260888990394,0.6331505179768434,0.9837466509652274,4
20630,32.769583631830805,2017-11-15 07:50:00,179.43859875202182,809.0,18.0,0.19650680775218324,0.3157378499930809,0.6223733003708282,0.9843830021115064,4
20645,33.501550276528064,2017-11-15 08:05:00,178.85281229019162,814.5,18.0,0.2030995028362556,0.31997010649928465,0.6347452424800492,0.9636577650088434,4
20660,32.994804137891514,2017-11-15 08:20:00,178.6101716756821,804.5,18.0,0.1999095468875956,0.3169009467410258,0.6308266003729024,0.980266865327354,4
20675,32.54436312577012,2017-11-15 08:35:00,179.09545290470123,800.5,18.0,0.19608520504504454,0.31361879448263363,0.6252342286071205,0.9828357633387866,4
20690,33.895686162134275,2017-11-15 08:50:00,181.68123936653137,825.0,18.0,0.19910922650723886,0.3140824318708835,0.6339393939393939,0.9918948507915424,4
20705,33.501550276528064,2017-11-15 09:05:00,180.5096664428711,813.0,18.0,0.19938821238949814,0.31354471309992643,0.6359163591635917,0.9741520613416016,4
20720,33.8393810356191,2017-11-15 09:20:00,182.2670258283615,823.0,18.0,0.19726405796587768,0.3113102966556421,0.6336573511543135,0.9363150522167968,4
20735,35.41592457804395,2017-11-15 09:35:00,182.2670258283615,837.5,18.0,0.2078554167828376,0.3167951074715677,0.6561194029850747,0.9515123501681748,4
20750,33.61416052955841,2017-11-15 09:50:00,180.0243852138519,813.5,18.0,0.2008523654557136,0.3154312727764924,0.6367547633681623,0.9598794807669836,4
20765,33.61416052955841,2017-11-15 10:05:00,180.0243852138519,817.0,18.0,0.2008523654557136,0.3167883833538958,0.6340269277845777,0.9235994580472512,4
20780,33.44524515001289,2017-11-15 10:20:00,181.68123936653137,815.0,18.0,0.1960635786830364,0.3102753720906304,0.6319018404907976,0.9832235122540436,4
20795,35.134398945468085,2017-11-15 10:35:00,180.6101716756821,848.0,18.0,0.20976032017239848,0.3266790661270778,0.6420990566037735,0.980941425007172,4
20810,33.951991288649445,2017-11-15 10:50:00,181.43859875202182,834.5,18.0,0.1998329886807945,0.3185494346783629,0.6273217495506291,0.9818574005608772,4
20825,34.17721179471014,2017-11-15 11:05:00,183.43859875202182,835.0,18.0,0.1966195922102701,0.3118278432964398,0.6305389221556886,0.9978504916422632,4
20840,34.402432300770826,2017-11-15 11:20:00,181.19595813751218,839.0,18.0,0.2032391516610168,0.3211255145830378,0.6328963051251489,0.9994507089887484,4
20855,34.57134768031635,2017-11-15 11:35:00,185.09545290470123,846.5,18.0,0.19568286035932253,0.3104883623133393,0.6302421736562316,0.9854932651831836,4
20870,35.24700919849843,2017-11-15 11:50:00,181.68123936653137,836.5,18.0,0.2082461699798464,0.3184605506181746,0.6539151225343693,0.984386460264828,4
20885,35.866365590165344,2017-11-15 12:05:00,186.024385213852,850.0,18.0,0.2015408525170548,0.30866617052161543,0.6529411764705882,0.9762960626507032,4
20900,36.035280969710854,2017-11-15 12:20:00,180.0243852138519,851.5,19.0,0.2175254382638134,0.3301656161883014,0.6588373458602467,0.9903265169410485,4
20915,35.41592457804395,2017-11-15 12:35:00,185.43859875202182,848.0,18.0,0.2000754091430497,0.3098884875859473,0.6456367924528302,0.9814463764603304,4
20930,35.078093818952915,2017-11-15 12:50:00,182.5096664428711,854.0,19.0,0.20522819285645166,0.32217808216803256,0.6370023419203747,0.987040073255985,4
20945,35.24700919849843,2017-11-15 13:05:00,183.43859875202182,855.0,19.0,0.20371507606971007,0.31929677367479764,0.6380116959064327,0.9832805088839984,4
20960,36.26050147577155,2017-11-15 13:20:00,183.43859875202182,865.5,19.0,0.21043711341023214,0.3232179621234355,0.6510687463893703,0.9897555865168962,4
20975,36.48572198183224,2017-11-15 13:35:00,184.2670258283615,854.0,19.0,0.2100295866195889,0.3160621444460422,0.664519906323185,0.9815834668066652,4
20990,35.584839957589466,2017-11-15 13:50:00,184.024385213852,854.5,19.0,0.204461108881064,0.3170817015224486,0.6448215330602691,0.9874232044793296,4
21005,35.41592457804395,2017-11-15 14:05:00,182.6101716756821,854.5,19.0,0.20669813896176706,0.3220119594217501,0.641895845523698,0.9890618613761556,4
21020,36.598332234862596,2017-11-15 14:20:00,186.2670258283615,876.5,19.0,0.20590570170892752,0.3174605937517589,0.6486023958927553,0.9873259201150968,4
21035,34.627652806831534,2017-11-15 14:35:00,183.68123936653137,845.0,19.0,0.19926638582126047,0.31472915143731794,0.6331360946745562,0.9868473502355142,4
21050,35.810060463650174,2017-11-15 14:50:00,185.68123936653137,865.5,18.0,0.20228645083422087,0.3154575192739067,0.6412478336221837,0.9755633336633018,4
21065,35.69745021061982,2017-11-15 15:05:00,185.19595813751218,854.0,19.0,0.2022487907437964,0.31289939727391697,0.6463700234192038,0.975627828042973,4
21080,35.24700919849843,2017-11-15 15:20:00,185.68123936653137,853.5,18.0,0.19864164991828887,0.3110837581747884,0.6385471587580551,0.9878808507303456,4
21095,35.3033143250136,2017-11-15 15:35:00,183.09545290470123,855.0,18.0,0.20522906648197284,0.32049470656088913,0.6403508771929824,0.999799131909617,4
21110,36.429416855317065,2017-11-15 15:50:00,182.024385213852,870.5,19.0,0.2150471925111465,0.33015622765600183,0.6513497989661114,0.9868090094514628,4
21125,35.69745021061982,2017-11-15 16:05:00,182.6101716756821,859.5,19.0,0.20858235171438114,0.3238961721743642,0.6439790575916229,0.9849025835102486,4
21140,36.48572198183224,2017-11-15 16:20:00,186.5096664428711,866.0,19.0,0.20482842809953586,0.3128420083495556,0.6547344110854504,0.9769422949758964,4
21155,35.190704071983255,2017-11-15 16:35:00,184.5096664428711,860.5,18.0,0.2011722710952508,0.3176307142705749,0.6333527019174898,0.9777540184541854,4
21170,37.04877324698398,2017-11-15 16:50:00,184.85281229019162,875.5,19.0,0.21219422143500208,0.3219688749849988,0.6590519703026841,0.9579346349127132,4
21185,35.47222970455913,2017-11-15 17:05:00,183.43859875202182,852.0,18.0,0.20520886214538167,0.318176434118044,0.6449530516431925,0.9174052220219496,4
21200,36.26050147577155,2017-11-15 17:20:00,177.78174459934237,847.5,18.0,0.2248371884711058,0.3369575901490047,0.6672566371681415,0.7661545718068646,4
21215,34.852873312892214,2017-11-15 17:35:00,183.92387998104093,849.0,18.0,0.20041262337768226,0.31538520342474924,0.6354534746760895,0.9870927540282332,4
22100,37.27399375304466,2017-11-16 08:20:00,187.92387998104093,952.5,20.0,0.20656091418495653,0.33893069898565226,0.6094488188976378,0.9390184271111414,4
22115,37.386604006075004,2017-11-16 08:35:00,191.92387998104093,950.5,21.0,0.19804052017761486,0.3242678973795399,0.6107311941083641,0.937001495656584,4
22130,37.6118245121357,2017-11-16 08:50:00,198.16652059555054,967.5,21.0,0.18623970731285308,0.30959951344533565,0.6015503875968993,0.9471185649323232,4
22145,37.89335014471158,2017-11-16 09:05:00,195.5807341337204,963.0,21.0,0.1933321974603905,0.3163617776624573,0.6111111111111112,0.9377332429143226,4
22160,39.01945267501504,2017-11-16 09:20:00,192.5096664428711,976.5,21.0,0.20650095934976165,0.33111360723323857,0.6236559139784946,0.9505813710003956,4
22175,39.01945267501504,2017-11-16 09:35:00,189.33809351921082,980.5,21.0,0.21417810644784724,0.3437015276139349,0.6231514533401326,0.9453699443365424,4
22190,39.63880906668194,2017-11-16 09:50:00,188.85281229019162,977.0,21.0,0.21880364434559849,0.3442369734712555,0.6356192425793245,0.94341537187233,4
22205,39.920334699257815,2017-11-16 10:05:00,191.09545290470123,982.0,21.0,0.21524668501884464,0.3379252513005683,0.6369653767820774,0.945639317310868,4
22220,39.46989368713642,2017-11-16 10:20:00,192.75230705738068,991.0,21.0,0.20885633669455345,0.3351848253672914,0.6231079717457114,0.9488767958568084,4
22235,39.920334699257815,2017-11-16 10:35:00,189.92387998104093,991.0,21.0,0.21825881423761329,0.34524259363044657,0.6321897073662966,0.9372061115777612,4
22250,39.920334699257815,2017-11-16 10:50:00,193.5807341337204,995.5,21.0,0.2097552854045593,0.33383115366944643,0.6283274736313411,0.9447103629919976,4
22265,40.76491159698541,2017-11-16 11:05:00,191.33809351921082,999.5,21.0,0.22002144307989926,0.3430755575013407,0.6413206603301651,0.9458625779949476,4
22280,39.80772444622746,2017-11-16 11:20:00,190.75230705738068,993.0,21.0,0.2156764409383808,0.34294108222868225,0.6289023162134945,0.9430496918398844,4
22295,39.132062928045386,2017-11-16 11:35:00,192.99494767189026,986.0,21.0,0.2064759182736303,0.3326556461075155,0.6206896551724138,0.9547388137946174,4
22310,40.08925007880333,2017-11-16 11:50:00,193.33809351921082,994.5,21.0,0.21112256043325933,0.3343334177561726,0.6314731020613373,0.947585450234998,4
22325,39.582503940166774,2017-11-16 12:05:00,191.33809351921082,994.0,21.0,0.21281325227696973,0.3411876980053353,0.6237424547283702,0.9415610581457984,4
22340,39.41358856062125,2017-11-16 12:20:00,198.75230705738068,1000.0,22.0,0.1951641633046424,0.31811599560658904,0.6135,0.9483878536615028,4
